gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Cartilage precursors	Chondrocytes	Perichondrium	Stromal cells	Cardiomyocytes	Muscle progenitors	Mesoderm	Mesenchymal progenitors	Lateral plate mesoderm	Limb bud mesoderm	Limb bud mesenchyme	Myocytes	Branchial arch mesenchyme	Intermediate mesoderm	Osteoblasts	Dermomyotome	Vascular smooth muscle	Osteoprogenitors	Endothelial cells	Apical ectodermal ridge	Hind limb lateral plate mesoderm	Myotome	Periosteum
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0C623F17A	0.581	0.289	0.384	0.606	0.482	0.852	0.381	0.635	0.702	0.439	0.357	0.906	0.357	0.364	0.154	0.998	0.288	0.647	0.269	0.137	0.125	0.831	0.368
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0A8F7D89F	0.581	0.289	0.384	0.606	0.482	0.852	0.381	0.635	0.702	0.439	0.357	0.906	0.357	0.364	0.154	0.998	0.288	0.647	0.269	0.137	0.125	0.831	0.368
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0569B9B91	0.581	0.289	0.384	0.606	0.482	0.852	0.381	0.635	0.702	0.439	0.357	0.906	0.357	0.364	0.154	0.998	0.288	0.647	0.269	0.137	0.125	0.831	0.368
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS08CC8F9D3	0.211	0.237	0.397	0.269	0.275	0.243	0.311	0.276	0.339	0.302	0.247	0.223	0.229	0.359	0.272	0.264	0.22	0.277	0.398	0.373	0.227	0.175	0.368
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS0E1BF543E	0.211	0.237	0.397	0.269	0.275	0.243	0.311	0.276	0.339	0.302	0.247	0.223	0.229	0.359	0.272	0.264	0.22	0.277	0.398	0.373	0.227	0.175	0.368
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS0C16967C6	0.211	0.237	0.397	0.269	0.275	0.243	0.311	0.276	0.339	0.302	0.247	0.223	0.229	0.359	0.272	0.264	0.22	0.277	0.398	0.373	0.227	0.175	0.368
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS0AEE2FB22	0.211	0.237	0.397	0.269	0.275	0.243	0.311	0.276	0.339	0.302	0.247	0.223	0.229	0.359	0.272	0.264	0.22	0.277	0.398	0.373	0.227	0.175	0.368
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS046B3C139	0.211	0.176	0.188	0.269	0.274	0.243	0.137	0.182	0.185	0.242	0.173	0.223	0.223	0.191	0.233	0.159	0.111	0.221	0.222	0.082	0.227	0.132	0.197
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS0EC80CA59	0.211	0.176	0.188	0.269	0.274	0.243	0.137	0.182	0.185	0.242	0.173	0.223	0.223	0.191	0.233	0.159	0.111	0.221	0.222	0.082	0.227	0.132	0.197
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS0FFBA02F8	0.211	0.176	0.188	0.269	0.274	0.243	0.137	0.182	0.185	0.242	0.173	0.223	0.223	0.191	0.233	0.159	0.111	0.221	0.222	0.082	0.227	0.132	0.197
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS0CE2A204A	0.211	0.176	0.188	0.269	0.274	0.243	0.137	0.182	0.185	0.242	0.173	0.223	0.223	0.191	0.233	0.159	0.111	0.221	0.222	0.082	0.227	0.132	0.197
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CC045C36F28	0.211	0.176	0.188	0.269	0.274	0.243	0.137	0.182	0.185	0.242	0.173	0.223	0.223	0.191	0.233	0.159	0.111	0.221	0.222	0.082	0.227	0.132	0.197
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS091BF99D0	0.211	0.176	0.188	0.269	0.274	0.243	0.137	0.182	0.185	0.242	0.173	0.223	0.223	0.191	0.233	0.159	0.111	0.221	0.222	0.082	0.227	0.132	0.197
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS073233FCC	0.211	0.176	0.188	0.269	0.274	0.243	0.137	0.182	0.185	0.242	0.173	0.223	0.223	0.191	0.233	0.159	0.111	0.221	0.222	0.082	0.227	0.132	0.197
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS0288D901D	0.187	0.085	0.116	0.259	0.155	0.243	0.148	0.104	0.196	0.085	0.159	0.223	0.147	0.138	0.167	0.264	0.063	0.131	0.169	0.24	0.089	0.157	0.108
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS0FCC00896	0.187	0.085	0.116	0.259	0.155	0.243	0.148	0.104	0.196	0.085	0.159	0.223	0.147	0.138	0.167	0.264	0.063	0.131	0.169	0.24	0.089	0.157	0.108
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS02AEFFE28	0.187	0.085	0.116	0.259	0.155	0.243	0.148	0.104	0.196	0.085	0.159	0.223	0.147	0.138	0.167	0.264	0.063	0.131	0.169	0.24	0.089	0.157	0.108
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS0860DA460	0.187	0.085	0.116	0.259	0.155	0.243	0.148	0.104	0.196	0.085	0.159	0.223	0.147	0.138	0.167	0.264	0.063	0.131	0.169	0.24	0.089	0.157	0.108
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CC09863F59B	0.187	0.085	0.116	0.259	0.155	0.243	0.148	0.104	0.196	0.085	0.159	0.223	0.147	0.138	0.167	0.264	0.063	0.131	0.169	0.24	0.089	0.157	0.108
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS04DD927C9	0.187	0.085	0.116	0.259	0.155	0.243	0.148	0.104	0.196	0.085	0.159	0.223	0.147	0.138	0.167	0.264	0.063	0.131	0.169	0.24	0.089	0.157	0.108
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS048465560	0.187	0.085	0.116	0.259	0.155	0.243	0.148	0.104	0.196	0.085	0.159	0.223	0.147	0.138	0.167	0.264	0.063	0.131	0.169	0.24	0.089	0.157	0.108
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CS046B3C139	0.211	0.176	0.188	0.269	0.274	0.243	0.137	0.182	0.185	0.242	0.173	0.223	0.223	0.191	0.233	0.159	0.111	0.221	0.222	0.082	0.227	0.132	0.197
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CS0EC80CA59	0.211	0.176	0.188	0.269	0.274	0.243	0.137	0.182	0.185	0.242	0.173	0.223	0.223	0.191	0.233	0.159	0.111	0.221	0.222	0.082	0.227	0.132	0.197
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CS0FFBA02F8	0.211	0.176	0.188	0.269	0.274	0.243	0.137	0.182	0.185	0.242	0.173	0.223	0.223	0.191	0.233	0.159	0.111	0.221	0.222	0.082	0.227	0.132	0.197
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CS0CE2A204A	0.211	0.176	0.188	0.269	0.274	0.243	0.137	0.182	0.185	0.242	0.173	0.223	0.223	0.191	0.233	0.159	0.111	0.221	0.222	0.082	0.227	0.132	0.197
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CC045C36F28	0.211	0.176	0.188	0.269	0.274	0.243	0.137	0.182	0.185	0.242	0.173	0.223	0.223	0.191	0.233	0.159	0.111	0.221	0.222	0.082	0.227	0.132	0.197
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CS091BF99D0	0.211	0.176	0.188	0.269	0.274	0.243	0.137	0.182	0.185	0.242	0.173	0.223	0.223	0.191	0.233	0.159	0.111	0.221	0.222	0.082	0.227	0.132	0.197
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CS073233FCC	0.211	0.176	0.188	0.269	0.274	0.243	0.137	0.182	0.185	0.242	0.173	0.223	0.223	0.191	0.233	0.159	0.111	0.221	0.222	0.082	0.227	0.132	0.197
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A receptor	CPI-CC0104F2A96	0.066	0.067	0.064	0.113	0.054	0.099	0.056	0.059	0.055	0.079	0.081	0.067	0.072	0.071	0.056	0.095	0.062	0.087	0.081	0.082	0.045	0.046	0.049
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A receptor	CPI-CS0533A30DC	0.066	0.067	0.064	0.113	0.054	0.099	0.056	0.059	0.055	0.079	0.081	0.067	0.072	0.071	0.056	0.095	0.062	0.087	0.081	0.082	0.045	0.046	0.049
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A receptor	CPI-CS02899BF8B	0.066	0.067	0.064	0.113	0.054	0.099	0.056	0.059	0.055	0.079	0.081	0.067	0.072	0.071	0.056	0.095	0.062	0.087	0.081	0.082	0.045	0.046	0.049
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A receptor	CPI-CS09F35DDEB	0.066	0.067	0.064	0.113	0.054	0.099	0.056	0.059	0.055	0.079	0.081	0.067	0.072	0.071	0.056	0.095	0.062	0.087	0.081	0.082	0.045	0.046	0.049
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A receptor	CPI-CS04F78ACD6	0.066	0.067	0.064	0.113	0.054	0.099	0.056	0.059	0.055	0.079	0.081	0.067	0.072	0.071	0.056	0.095	0.062	0.087	0.081	0.082	0.045	0.046	0.049
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A receptor	CPI-CS0C8F1E01F	0.066	0.067	0.064	0.113	0.054	0.099	0.056	0.059	0.055	0.079	0.081	0.067	0.072	0.071	0.056	0.095	0.062	0.087	0.081	0.082	0.045	0.046	0.049
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1C2A receptor	CPI-CC0947744F4	0.002	0.002	0.0	0.007	0.007	0.002	0.0	0.003	0.023	0.0	0.002	0.006	0.003	0.004	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1C2A receptor	CPI-CS0924060DB	0.002	0.002	0.0	0.007	0.007	0.002	0.0	0.003	0.023	0.0	0.002	0.006	0.003	0.004	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1C2A receptor	CPI-CS007ADC2D1	0.002	0.002	0.0	0.007	0.007	0.002	0.0	0.003	0.023	0.0	0.002	0.006	0.003	0.004	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS0D35E69F6	0.284	0.176	0.188	0.305	0.274	0.603	0.137	0.182	0.185	0.242	0.173	0.568	0.223	0.191	0.233	0.159	0.111	0.221	0.222	0.082	0.303	0.132	0.197
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS047EE9E03	0.284	0.176	0.188	0.305	0.274	0.603	0.137	0.182	0.185	0.242	0.173	0.568	0.223	0.191	0.233	0.159	0.111	0.221	0.222	0.082	0.303	0.132	0.197
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS0247DA882	0.284	0.176	0.188	0.305	0.274	0.603	0.137	0.182	0.185	0.242	0.173	0.568	0.223	0.191	0.233	0.159	0.111	0.221	0.222	0.082	0.303	0.132	0.197
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS0C091F24B	0.284	0.176	0.188	0.305	0.274	0.603	0.137	0.182	0.185	0.242	0.173	0.568	0.223	0.191	0.233	0.159	0.111	0.221	0.222	0.082	0.303	0.132	0.197
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS075442484	0.284	0.176	0.188	0.305	0.274	0.603	0.137	0.182	0.185	0.242	0.173	0.568	0.223	0.191	0.233	0.159	0.111	0.221	0.222	0.082	0.303	0.132	0.197
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS012D15A88	0.284	0.176	0.188	0.305	0.274	0.603	0.137	0.182	0.185	0.242	0.173	0.568	0.223	0.191	0.233	0.159	0.111	0.221	0.222	0.082	0.303	0.132	0.197
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS0DAA66443	0.284	0.176	0.188	0.305	0.274	0.603	0.137	0.182	0.185	0.242	0.173	0.568	0.223	0.191	0.233	0.159	0.111	0.221	0.222	0.082	0.303	0.132	0.197
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS04C402DFB	0.284	0.176	0.188	0.305	0.274	0.603	0.137	0.182	0.185	0.242	0.173	0.568	0.223	0.191	0.233	0.159	0.111	0.221	0.222	0.082	0.303	0.132	0.197
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS0DF85303A	0.284	0.176	0.188	0.305	0.274	0.603	0.137	0.182	0.185	0.242	0.173	0.568	0.223	0.191	0.154	0.159	0.111	0.221	0.222	0.082	0.125	0.132	0.197
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS01A4D7E2F	0.284	0.176	0.188	0.305	0.274	0.603	0.137	0.182	0.185	0.242	0.173	0.568	0.223	0.191	0.154	0.159	0.111	0.221	0.222	0.082	0.125	0.132	0.197
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS0921BB754	0.284	0.176	0.188	0.305	0.274	0.603	0.137	0.182	0.185	0.242	0.173	0.568	0.223	0.191	0.154	0.159	0.111	0.221	0.222	0.082	0.125	0.132	0.197
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS01319F57A	0.284	0.176	0.188	0.305	0.274	0.603	0.137	0.182	0.185	0.242	0.173	0.568	0.223	0.191	0.154	0.159	0.111	0.221	0.222	0.082	0.125	0.132	0.197
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS08A043594	0.284	0.176	0.188	0.305	0.274	0.603	0.137	0.182	0.185	0.242	0.173	0.568	0.223	0.191	0.154	0.159	0.111	0.221	0.222	0.082	0.125	0.132	0.197
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS02957B1BF	0.284	0.176	0.188	0.305	0.274	0.603	0.137	0.182	0.185	0.242	0.173	0.568	0.223	0.191	0.154	0.159	0.111	0.221	0.222	0.082	0.125	0.132	0.197
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS069E2161D	0.284	0.176	0.188	0.305	0.274	0.603	0.137	0.182	0.185	0.242	0.173	0.568	0.223	0.191	0.154	0.159	0.111	0.221	0.222	0.082	0.125	0.132	0.197
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS0D9226707	0.284	0.176	0.188	0.305	0.274	0.603	0.137	0.182	0.185	0.242	0.173	0.568	0.223	0.191	0.154	0.159	0.111	0.221	0.222	0.082	0.125	0.132	0.197
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CS0288D901D	0.187	0.085	0.116	0.259	0.155	0.243	0.148	0.104	0.196	0.085	0.159	0.223	0.147	0.138	0.167	0.264	0.063	0.131	0.169	0.24	0.089	0.157	0.108
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CS0FCC00896	0.187	0.085	0.116	0.259	0.155	0.243	0.148	0.104	0.196	0.085	0.159	0.223	0.147	0.138	0.167	0.264	0.063	0.131	0.169	0.24	0.089	0.157	0.108
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CS02AEFFE28	0.187	0.085	0.116	0.259	0.155	0.243	0.148	0.104	0.196	0.085	0.159	0.223	0.147	0.138	0.167	0.264	0.063	0.131	0.169	0.24	0.089	0.157	0.108
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CS0860DA460	0.187	0.085	0.116	0.259	0.155	0.243	0.148	0.104	0.196	0.085	0.159	0.223	0.147	0.138	0.167	0.264	0.063	0.131	0.169	0.24	0.089	0.157	0.108
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CC09863F59B	0.187	0.085	0.116	0.259	0.155	0.243	0.148	0.104	0.196	0.085	0.159	0.223	0.147	0.138	0.167	0.264	0.063	0.131	0.169	0.24	0.089	0.157	0.108
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CS04DD927C9	0.187	0.085	0.116	0.259	0.155	0.243	0.148	0.104	0.196	0.085	0.159	0.223	0.147	0.138	0.167	0.264	0.063	0.131	0.169	0.24	0.089	0.157	0.108
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CS048465560	0.187	0.085	0.116	0.259	0.155	0.243	0.148	0.104	0.196	0.085	0.159	0.223	0.147	0.138	0.167	0.264	0.063	0.131	0.169	0.24	0.089	0.157	0.108
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B receptor	CPI-CC072007F09	0.066	0.067	0.064	0.113	0.054	0.099	0.056	0.059	0.055	0.079	0.081	0.067	0.072	0.071	0.056	0.095	0.062	0.087	0.081	0.13	0.045	0.046	0.049
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B receptor	CPI-CS0C159B54D	0.066	0.067	0.064	0.113	0.054	0.099	0.056	0.059	0.055	0.079	0.081	0.067	0.072	0.071	0.056	0.095	0.062	0.087	0.081	0.13	0.045	0.046	0.049
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B receptor	CPI-CS085EF890A	0.066	0.067	0.064	0.113	0.054	0.099	0.056	0.059	0.055	0.079	0.081	0.067	0.072	0.071	0.056	0.095	0.062	0.087	0.081	0.13	0.045	0.046	0.049
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B receptor	CPI-CS0AED3F8E8	0.066	0.067	0.064	0.113	0.054	0.099	0.056	0.059	0.055	0.079	0.081	0.067	0.072	0.071	0.056	0.095	0.062	0.087	0.081	0.13	0.045	0.046	0.049
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B receptor	CPI-CS0384572FE	0.066	0.067	0.064	0.113	0.054	0.099	0.056	0.059	0.055	0.079	0.081	0.067	0.072	0.071	0.056	0.095	0.062	0.087	0.081	0.13	0.045	0.046	0.049
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B receptor	CPI-CS06C0EEFCB	0.066	0.067	0.064	0.113	0.054	0.099	0.056	0.059	0.055	0.079	0.081	0.067	0.072	0.071	0.056	0.095	0.062	0.087	0.081	0.13	0.045	0.046	0.049
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B receptor	CPI-CS0B2F2EF5D	0.066	0.067	0.064	0.113	0.054	0.099	0.056	0.059	0.055	0.079	0.081	0.067	0.072	0.071	0.056	0.095	0.062	0.087	0.081	0.13	0.045	0.046	0.049
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1C2B receptor	CPI-CC0B6E6E341	0.002	0.002	0.0	0.007	0.007	0.002	0.0	0.003	0.023	0.0	0.002	0.006	0.003	0.004	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1C2B receptor	CPI-CS0B79F5D68	0.002	0.002	0.0	0.007	0.007	0.002	0.0	0.003	0.023	0.0	0.002	0.006	0.003	0.004	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1C2B receptor	CPI-CS0A5400A6A	0.002	0.002	0.0	0.007	0.007	0.002	0.0	0.003	0.023	0.0	0.002	0.006	0.003	0.004	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS0C99F8D96	0.187	0.085	0.116	0.259	0.155	0.301	0.148	0.104	0.196	0.085	0.159	0.253	0.147	0.138	0.167	0.301	0.063	0.131	0.169	0.24	0.089	0.157	0.108
