gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Chondrocytes	Mesenchymal progenitors	Cardiomyocytes	Muscle progenitors	Intermediate mesoderm	Myocytes	Stromal cells	Perichondrium	Endothelial cells	Limb bud mesenchyme	Branchial arch mesenchyme	Cartilage precursors	Vascular smooth muscle	Mesoderm	Lateral plate mesoderm	Osteoprogenitors	Osteoblasts	Apical ectodermal ridge	Hind limb lateral plate mesoderm	Periosteum	Dermomyotome	Myotome	Limb bud mesoderm
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0F6CFB979	0.528	0.578	0.567	0.749	0.735	0.664	0.601	0.661	0.145	0.523	0.574	0.615	0.528	0.638	0.493	0.541	0.573	0.381	0.222	0.558	0.498	0.452	0.325
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS090FFEDFE	0.528	0.578	0.567	0.749	0.735	0.664	0.601	0.661	0.145	0.523	0.574	0.615	0.528	0.638	0.493	0.541	0.573	0.381	0.222	0.558	0.498	0.452	0.325
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0E4E75E3B	0.528	0.578	0.567	0.749	0.735	0.664	0.601	0.661	0.145	0.523	0.574	0.615	0.528	0.638	0.493	0.541	0.573	0.381	0.222	0.558	0.498	0.452	0.325
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0E54FF657	0.528	0.578	0.567	0.749	0.735	0.664	0.601	0.661	0.145	0.523	0.574	0.615	0.528	0.638	0.493	0.541	0.573	0.381	0.222	0.558	0.498	0.452	0.325
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS09CECD20D	0.528	0.578	0.567	0.749	0.735	0.664	0.601	0.661	0.145	0.523	0.574	0.615	0.528	0.638	0.493	0.541	0.573	0.381	0.222	0.558	0.498	0.452	0.325
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0B9A4CA4D	0.528	0.578	0.567	0.749	0.735	0.664	0.601	0.661	0.145	0.523	0.574	0.615	0.528	0.638	0.493	0.541	0.573	0.381	0.222	0.558	0.498	0.452	0.325
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0CFA0E4C5	0.528	0.578	0.567	0.749	0.735	0.664	0.601	0.661	0.145	0.523	0.574	0.615	0.528	0.638	0.493	0.541	0.573	0.381	0.222	0.558	0.498	0.452	0.325
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS08109C435	0.2	0.578	0.372	0.751	0.387	0.746	0.451	0.335	0.189	0.202	0.2	0.617	0.363	0.309	0.493	0.541	0.087	0.0	0.0	0.558	0.786	0.834	0.095
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS02C93975C	0.2	0.578	0.372	0.751	0.387	0.746	0.451	0.335	0.189	0.202	0.2	0.617	0.363	0.309	0.493	0.541	0.087	0.0	0.0	0.558	0.786	0.834	0.095
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0EF793D6A	0.2	0.578	0.372	0.751	0.387	0.746	0.451	0.335	0.189	0.202	0.2	0.617	0.363	0.309	0.493	0.541	0.087	0.0	0.0	0.558	0.786	0.834	0.095
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0484364A2	0.2	0.578	0.372	0.751	0.387	0.746	0.451	0.335	0.189	0.202	0.2	0.617	0.363	0.309	0.493	0.541	0.087	0.0	0.0	0.558	0.786	0.834	0.095
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS028ACED72	0.2	0.578	0.372	0.751	0.387	0.746	0.451	0.335	0.189	0.202	0.2	0.617	0.363	0.309	0.493	0.541	0.087	0.0	0.0	0.558	0.786	0.834	0.095
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0107C51C6	0.2	0.578	0.372	0.751	0.387	0.746	0.451	0.335	0.189	0.202	0.2	0.617	0.363	0.309	0.493	0.541	0.087	0.0	0.0	0.558	0.786	0.834	0.095
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0700FDD27	0.2	0.578	0.372	0.751	0.387	0.746	0.451	0.335	0.189	0.202	0.2	0.617	0.363	0.309	0.493	0.541	0.087	0.0	0.0	0.558	0.786	0.834	0.095
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0C623F17A	0.2	0.578	0.372	0.751	0.387	0.746	0.451	0.335	0.189	0.202	0.2	0.617	0.363	0.309	0.493	0.541	0.087	0.0	0.0	0.558	0.786	0.834	0.095
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS027D7A724	0.2	0.578	0.372	0.751	0.387	0.746	0.451	0.335	0.189	0.202	0.2	0.617	0.363	0.309	0.493	0.541	0.087	0.0	0.0	0.558	0.786	0.834	0.095
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0A8F7D89F	0.2	0.578	0.372	0.751	0.387	0.746	0.451	0.335	0.189	0.202	0.2	0.617	0.363	0.309	0.493	0.541	0.087	0.0	0.0	0.558	0.786	0.834	0.095
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0569B9B91	0.2	0.578	0.372	0.751	0.387	0.746	0.451	0.335	0.189	0.202	0.2	0.617	0.363	0.309	0.493	0.541	0.087	0.0	0.0	0.558	0.786	0.834	0.095
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS08CC8F9D3	0.227	0.278	0.253	0.221	0.311	0.249	0.238	0.389	0.366	0.241	0.261	0.224	0.261	0.258	0.238	0.223	0.3	0.0	0.238	0.29	0.076	0.0	0.218
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS0E1BF543E	0.227	0.278	0.253	0.221	0.311	0.249	0.238	0.389	0.366	0.241	0.261	0.224	0.261	0.258	0.238	0.223	0.3	0.0	0.238	0.29	0.076	0.0	0.218
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS0C16967C6	0.227	0.278	0.253	0.221	0.311	0.249	0.238	0.389	0.366	0.241	0.261	0.224	0.261	0.258	0.238	0.223	0.3	0.0	0.238	0.29	0.076	0.0	0.218
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS0AEE2FB22	0.227	0.278	0.253	0.221	0.311	0.249	0.238	0.389	0.366	0.241	0.261	0.224	0.261	0.258	0.238	0.223	0.3	0.0	0.238	0.29	0.076	0.0	0.218
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS046B3C139	0.146	0.174	0.253	0.221	0.166	0.249	0.238	0.214	0.242	0.192	0.143	0.224	0.159	0.225	0.103	0.223	0.076	0.0	0.119	0.033	0.076	0.0	0.218
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS0EC80CA59	0.146	0.174	0.253	0.221	0.166	0.249	0.238	0.214	0.242	0.192	0.143	0.224	0.159	0.225	0.103	0.223	0.076	0.0	0.119	0.033	0.076	0.0	0.218
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS0FFBA02F8	0.146	0.174	0.253	0.221	0.166	0.249	0.238	0.214	0.242	0.192	0.143	0.224	0.159	0.225	0.103	0.223	0.076	0.0	0.119	0.033	0.076	0.0	0.218
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS0CE2A204A	0.146	0.174	0.253	0.221	0.166	0.249	0.238	0.214	0.242	0.192	0.143	0.224	0.159	0.225	0.103	0.223	0.076	0.0	0.119	0.033	0.076	0.0	0.218
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CC045C36F28	0.146	0.174	0.253	0.221	0.166	0.249	0.238	0.214	0.242	0.192	0.143	0.224	0.159	0.225	0.103	0.223	0.076	0.0	0.119	0.033	0.076	0.0	0.218
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS091BF99D0	0.146	0.174	0.253	0.221	0.166	0.249	0.238	0.214	0.242	0.192	0.143	0.224	0.159	0.225	0.103	0.223	0.076	0.0	0.119	0.033	0.076	0.0	0.218
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS073233FCC	0.146	0.174	0.253	0.221	0.166	0.249	0.238	0.214	0.242	0.192	0.143	0.224	0.159	0.225	0.103	0.223	0.076	0.0	0.119	0.033	0.076	0.0	0.218
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS0288D901D	0.082	0.056	0.098	0.221	0.12	0.196	0.205	0.07	0.124	0.074	0.084	0.12	0.145	0.123	0.16	0.094	0.137	0.0	0.027	0.05	0.076	0.0	0.066
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS0FCC00896	0.082	0.056	0.098	0.221	0.12	0.196	0.205	0.07	0.124	0.074	0.084	0.12	0.145	0.123	0.16	0.094	0.137	0.0	0.027	0.05	0.076	0.0	0.066
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS02AEFFE28	0.082	0.056	0.098	0.221	0.12	0.196	0.205	0.07	0.124	0.074	0.084	0.12	0.145	0.123	0.16	0.094	0.137	0.0	0.027	0.05	0.076	0.0	0.066
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS0860DA460	0.082	0.056	0.098	0.221	0.12	0.196	0.205	0.07	0.124	0.074	0.084	0.12	0.145	0.123	0.16	0.094	0.137	0.0	0.027	0.05	0.076	0.0	0.066
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CC09863F59B	0.082	0.056	0.098	0.221	0.12	0.196	0.205	0.07	0.124	0.074	0.084	0.12	0.145	0.123	0.16	0.094	0.137	0.0	0.027	0.05	0.076	0.0	0.066
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS04DD927C9	0.082	0.056	0.098	0.221	0.12	0.196	0.205	0.07	0.124	0.074	0.084	0.12	0.145	0.123	0.16	0.094	0.137	0.0	0.027	0.05	0.076	0.0	0.066
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS048465560	0.082	0.056	0.098	0.221	0.12	0.196	0.205	0.07	0.124	0.074	0.084	0.12	0.145	0.123	0.16	0.094	0.137	0.0	0.027	0.05	0.076	0.0	0.066
ACVR1	Q04771	True	ACVR1_HUMAN	MIS receptor 3	CPI-CS0D4BB4458	0.0	0.002	0.002	0.003	0.005	0.002	0.006	0.004	0.002	0.0	0.0	0.0	0.0	0.004	0.053	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CS046B3C139	0.146	0.174	0.253	0.221	0.166	0.249	0.238	0.214	0.242	0.192	0.143	0.224	0.159	0.225	0.103	0.223	0.076	0.0	0.119	0.033	0.076	0.0	0.218
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CS0EC80CA59	0.146	0.174	0.253	0.221	0.166	0.249	0.238	0.214	0.242	0.192	0.143	0.224	0.159	0.225	0.103	0.223	0.076	0.0	0.119	0.033	0.076	0.0	0.218
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CS0FFBA02F8	0.146	0.174	0.253	0.221	0.166	0.249	0.238	0.214	0.242	0.192	0.143	0.224	0.159	0.225	0.103	0.223	0.076	0.0	0.119	0.033	0.076	0.0	0.218
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CS0CE2A204A	0.146	0.174	0.253	0.221	0.166	0.249	0.238	0.214	0.242	0.192	0.143	0.224	0.159	0.225	0.103	0.223	0.076	0.0	0.119	0.033	0.076	0.0	0.218
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CC045C36F28	0.146	0.174	0.253	0.221	0.166	0.249	0.238	0.214	0.242	0.192	0.143	0.224	0.159	0.225	0.103	0.223	0.076	0.0	0.119	0.033	0.076	0.0	0.218
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CS091BF99D0	0.146	0.174	0.253	0.221	0.166	0.249	0.238	0.214	0.242	0.192	0.143	0.224	0.159	0.225	0.103	0.223	0.076	0.0	0.119	0.033	0.076	0.0	0.218
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CS073233FCC	0.146	0.174	0.253	0.221	0.166	0.249	0.238	0.214	0.242	0.192	0.143	0.224	0.159	0.225	0.103	0.223	0.076	0.0	0.119	0.033	0.076	0.0	0.218
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A receptor	CPI-CC0104F2A96	0.057	0.053	0.044	0.075	0.08	0.06	0.081	0.064	0.068	0.101	0.064	0.058	0.045	0.064	0.042	0.08	0.044	0.0	0.094	0.028	0.085	0.0	0.085
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A receptor	CPI-CS0533A30DC	0.057	0.053	0.044	0.075	0.08	0.06	0.081	0.064	0.068	0.101	0.064	0.058	0.045	0.064	0.042	0.08	0.044	0.0	0.094	0.028	0.085	0.0	0.085
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A receptor	CPI-CS02899BF8B	0.057	0.053	0.044	0.075	0.08	0.06	0.081	0.064	0.068	0.101	0.064	0.058	0.045	0.064	0.042	0.08	0.044	0.0	0.094	0.028	0.085	0.0	0.085
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A receptor	CPI-CS09F35DDEB	0.057	0.053	0.044	0.075	0.08	0.06	0.081	0.064	0.068	0.101	0.064	0.058	0.045	0.064	0.042	0.08	0.044	0.0	0.094	0.028	0.085	0.0	0.085
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A receptor	CPI-CS04F78ACD6	0.057	0.053	0.044	0.075	0.08	0.06	0.081	0.064	0.068	0.101	0.064	0.058	0.045	0.064	0.042	0.08	0.044	0.0	0.094	0.028	0.085	0.0	0.085
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A receptor	CPI-CS0C8F1E01F	0.057	0.053	0.044	0.075	0.08	0.06	0.081	0.064	0.068	0.101	0.064	0.058	0.045	0.064	0.042	0.08	0.044	0.0	0.094	0.028	0.085	0.0	0.085
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1C2A receptor	CPI-CC0947744F4	0.0	0.001	0.011	0.003	0.0	0.003	0.004	0.003	0.0	0.0	0.0	0.0	0.0	0.005	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1C2A receptor	CPI-CS0924060DB	0.0	0.001	0.011	0.003	0.0	0.003	0.004	0.003	0.0	0.0	0.0	0.0	0.0	0.005	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1C2A receptor	CPI-CS007ADC2D1	0.0	0.001	0.011	0.003	0.0	0.003	0.004	0.003	0.0	0.0	0.0	0.0	0.0	0.005	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS0D35E69F6	0.146	0.174	0.305	0.508	0.166	0.382	0.265	0.214	0.145	0.192	0.143	0.262	0.159	0.225	0.103	0.224	0.076	0.0	0.119	0.033	0.498	0.0	0.325
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS047EE9E03	0.146	0.174	0.305	0.508	0.166	0.382	0.265	0.214	0.145	0.192	0.143	0.262	0.159	0.225	0.103	0.224	0.076	0.0	0.119	0.033	0.498	0.0	0.325
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS0247DA882	0.146	0.174	0.305	0.508	0.166	0.382	0.265	0.214	0.145	0.192	0.143	0.262	0.159	0.225	0.103	0.224	0.076	0.0	0.119	0.033	0.498	0.0	0.325
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS0C091F24B	0.146	0.174	0.305	0.508	0.166	0.382	0.265	0.214	0.145	0.192	0.143	0.262	0.159	0.225	0.103	0.224	0.076	0.0	0.119	0.033	0.498	0.0	0.325
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS075442484	0.146	0.174	0.305	0.508	0.166	0.382	0.265	0.214	0.145	0.192	0.143	0.262	0.159	0.225	0.103	0.224	0.076	0.0	0.119	0.033	0.498	0.0	0.325
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS012D15A88	0.146	0.174	0.305	0.508	0.166	0.382	0.265	0.214	0.145	0.192	0.143	0.262	0.159	0.225	0.103	0.224	0.076	0.0	0.119	0.033	0.498	0.0	0.325
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS0DAA66443	0.146	0.174	0.305	0.508	0.166	0.382	0.265	0.214	0.145	0.192	0.143	0.262	0.159	0.225	0.103	0.224	0.076	0.0	0.119	0.033	0.498	0.0	0.325
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS04C402DFB	0.146	0.174	0.305	0.508	0.166	0.382	0.265	0.214	0.145	0.192	0.143	0.262	0.159	0.225	0.103	0.224	0.076	0.0	0.119	0.033	0.498	0.0	0.325
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS05789C9A0	0.146	0.174	0.305	0.508	0.166	0.382	0.265	0.214	0.145	0.192	0.143	0.262	0.159	0.225	0.103	0.224	0.076	0.0	0.119	0.033	0.498	0.0	0.325
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS0DF85303A	0.146	0.174	0.305	0.508	0.166	0.382	0.265	0.214	0.189	0.192	0.143	0.262	0.159	0.225	0.103	0.224	0.076	0.0	0.0	0.033	0.509	0.0	0.095
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS01A4D7E2F	0.146	0.174	0.305	0.508	0.166	0.382	0.265	0.214	0.189	0.192	0.143	0.262	0.159	0.225	0.103	0.224	0.076	0.0	0.0	0.033	0.509	0.0	0.095
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS0921BB754	0.146	0.174	0.305	0.508	0.166	0.382	0.265	0.214	0.189	0.192	0.143	0.262	0.159	0.225	0.103	0.224	0.076	0.0	0.0	0.033	0.509	0.0	0.095
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS01319F57A	0.146	0.174	0.305	0.508	0.166	0.382	0.265	0.214	0.189	0.192	0.143	0.262	0.159	0.225	0.103	0.224	0.076	0.0	0.0	0.033	0.509	0.0	0.095
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS08A043594	0.146	0.174	0.305	0.508	0.166	0.382	0.265	0.214	0.189	0.192	0.143	0.262	0.159	0.225	0.103	0.224	0.076	0.0	0.0	0.033	0.509	0.0	0.095
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS02957B1BF	0.146	0.174	0.305	0.508	0.166	0.382	0.265	0.214	0.189	0.192	0.143	0.262	0.159	0.225	0.103	0.224	0.076	0.0	0.0	0.033	0.509	0.0	0.095
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS069E2161D	0.146	0.174	0.305	0.508	0.166	0.382	0.265	0.214	0.189	0.192	0.143	0.262	0.159	0.225	0.103	0.224	0.076	0.0	0.0	0.033	0.509	0.0	0.095
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS0D9226707	0.146	0.174	0.305	0.508	0.166	0.382	0.265	0.214	0.189	0.192	0.143	0.262	0.159	0.225	0.103	0.224	0.076	0.0	0.0	0.033	0.509	0.0	0.095
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS0BDA0D08C	0.146	0.174	0.305	0.508	0.166	0.382	0.265	0.214	0.189	0.192	0.143	0.262	0.159	0.225	0.103	0.224	0.076	0.0	0.0	0.033	0.509	0.0	0.095
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CS0288D901D	0.082	0.056	0.098	0.221	0.12	0.196	0.205	0.07	0.124	0.074	0.084	0.12	0.145	0.123	0.16	0.094	0.137	0.0	0.027	0.05	0.076	0.0	0.066
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CS0FCC00896	0.082	0.056	0.098	0.221	0.12	0.196	0.205	0.07	0.124	0.074	0.084	0.12	0.145	0.123	0.16	0.094	0.137	0.0	0.027	0.05	0.076	0.0	0.066
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CS02AEFFE28	0.082	0.056	0.098	0.221	0.12	0.196	0.205	0.07	0.124	0.074	0.084	0.12	0.145	0.123	0.16	0.094	0.137	0.0	0.027	0.05	0.076	0.0	0.066
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CS0860DA460	0.082	0.056	0.098	0.221	0.12	0.196	0.205	0.07	0.124	0.074	0.084	0.12	0.145	0.123	0.16	0.094	0.137	0.0	0.027	0.05	0.076	0.0	0.066
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CC09863F59B	0.082	0.056	0.098	0.221	0.12	0.196	0.205	0.07	0.124	0.074	0.084	0.12	0.145	0.123	0.16	0.094	0.137	0.0	0.027	0.05	0.076	0.0	0.066
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CS04DD927C9	0.082	0.056	0.098	0.221	0.12	0.196	0.205	0.07	0.124	0.074	0.084	0.12	0.145	0.123	0.16	0.094	0.137	0.0	0.027	0.05	0.076	0.0	0.066
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CS048465560	0.082	0.056	0.098	0.221	0.12	0.196	0.205	0.07	0.124	0.074	0.084	0.12	0.145	0.123	0.16	0.094	0.137	0.0	0.027	0.05	0.076	0.0	0.066
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B receptor	CPI-CC072007F09	0.057	0.053	0.044	0.075	0.08	0.06	0.081	0.064	0.068	0.074	0.064	0.058	0.045	0.064	0.042	0.08	0.044	0.0	0.027	0.028	0.085	0.0	0.066
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B receptor	CPI-CS0C159B54D	0.057	0.053	0.044	0.075	0.08	0.06	0.081	0.064	0.068	0.074	0.064	0.058	0.045	0.064	0.042	0.08	0.044	0.0	0.027	0.028	0.085	0.0	0.066
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B receptor	CPI-CS085EF890A	0.057	0.053	0.044	0.075	0.08	0.06	0.081	0.064	0.068	0.074	0.064	0.058	0.045	0.064	0.042	0.08	0.044	0.0	0.027	0.028	0.085	0.0	0.066
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B receptor	CPI-CS0AED3F8E8	0.057	0.053	0.044	0.075	0.08	0.06	0.081	0.064	0.068	0.074	0.064	0.058	0.045	0.064	0.042	0.08	0.044	0.0	0.027	0.028	0.085	0.0	0.066
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B receptor	CPI-CS0384572FE	0.057	0.053	0.044	0.075	0.08	0.06	0.081	0.064	0.068	0.074	0.064	0.058	0.045	0.064	0.042	0.08	0.044	0.0	0.027	0.028	0.085	0.0	0.066
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B receptor	CPI-CS06C0EEFCB	0.057	0.053	0.044	0.075	0.08	0.06	0.081	0.064	0.068	0.074	0.064	0.058	0.045	0.064	0.042	0.08	0.044	0.0	0.027	0.028	0.085	0.0	0.066
